Handle for Wheel chair locking to be provided in the following Coaches.

| Rake No. | Train No. | Coach No.(DTC) | Concern Railway. |
| :--- | :--- | :--- | :--- |
| 1 | 20901 | 226430, 226431 | WR |
| 2 | 22447 | 226629, 226630 | NR |
| 3 | 20607 | 226657,226658 | SR |
| 4 | 20701 | 227607,227608 | SCR |
| 5 | 22303 | 227654,227655 | ER |
| 6 | 20707 | 235001,235002 | SCR |
| 7 | 22223 | 235034,235035 | CR |
| 8 | 22225 | 235049,235048 | CR |
| 9 | Spare | 235080,235081 | NR |
| 10 | 20171 | 235082,235083 | WCR |
| 11 | Spare | 235084,235085 | NWR |
| 12 | 20825 | 235268,235269 | SECR |
| 13 | 20643 | 235281,235282 | SR |
| 14 | 20666 | 235289,235290 | SR |
| 15 | 22895 | 235291,235292 | SER |
| 16 | Spare | 235293,235294 | NFR |
| 17 | 22227 | 235355,235356 | NFR |
| 18 | 22457 | 235357,235358 | NR |
| 19 | 22229 | 235359,235360 | CR |
| 20 | 22349 | 235361,235362 | ECR |
| 21 | 20661 | 235363,235364 | SWR |

15/9/25
