REPORT ON SHOP SCHEDULE ACTIVITIES FOR VANDE BHARAT TRAINSET (Ver. 2)

Annexure-II

| SN | System/Sub System/Component | Proposed Maintenance during Warranty Period | Proposed Maintenance post Warranty Period | Proposed related actions |
| :--- | :--- | :--- | :--- | :--- |
| **i.** | **Bogies and Air Brake** | | | |
| 1. | Bogies and related items | In-house Maintenance with adequate UTEX | In-house Maintenance with adequate UTEX | Consolidated Rate contract for supply/major schedule of the item/items to be done by ICF |
| 2. | Brake and Air Supply System and related items | In-house Maintenance with adequate UTEX | In-house Maintenance with adequate UTEX | Consolidated Rate contract for supply/major schedule of the item/items to be done by ICF |
| **ii.** | **Shell, Under frame and Inter-Coach Mechanical Couplers** | | | |
| 1. | CBC & Semi-Permanent Coupler and related items | In-house Maintenance with adequate UTEX | In-house Maintenance with adequate UTEX | Consolidated Rate contract for supply/major schedule of the item/items to be done by ICF |
| **iii.** | **Doors** | | | |
| 1. | Internal Door and related items | Preventive Maintenance Contracts | Comprehensive Annual Maintenance Contracts | Consolidated contract for PMC and CAMC to be done by ICF |
| 2. | Plug Doors and related items | Preventive Maintenance Contracts | Comprehensive Annual Maintenance Contracts | Consolidated contract for PMC and CAMC to be done by ICF |
| **iv.** | **Passenger Amenities including interior furnishing, pantry, lavatories etc.** | | | |
| 1. | Gangway and related items | In-house Maintenance with adequate UTEX | In-house Maintenance with RC | Consolidated Rate contract for supply/repair/refurbishment of the item/items to be done by ICF. |
| 2. | Passenger Seat and related items | In-house Maintenance with adequate UTEX | In-house Maintenance with RC | Consolidated Rate contract for supply of the item/items or repair/refurbishment Works to be done by ZR |
| 3. | Floor Mat/ Cover and related items | In-house Maintenance with RC | In-house Maintenance with RC | Consolidated Rate contract for supply of the item/items or repair/refurbishment Works to be done by ZR |
| 4. | Window and related items | In-house Maintenance with RC | In-house Maintenance with RC | Consolidated Rate contract for supply of the item/items or repair/refurbishment Works to be done by ZR |
| 5. | Roller Blind and related items | In-house Maintenance with RC | In-house Maintenance with RC | Consolidated Rate contract for supply of the item/items or repair/refurbishment Works to be done by ZR |
| 6. | Luggage Rack (including the glass and reading lights) and related items | In-house Maintenance with adequate UTEX | In-house Maintenance with RC | |
| 7. | Side and Roof Panels and related items | In-house Maintenance with RC | In-house Maintenance with RC | Rate contract for panel repair to be done by ZR |
| 8. | Fire Extinguisher and related items | In-house Maintenance with RC | In-house Maintenance with RC | RC for refilling etc. to be done by ZR |

Page 6 of 10

IRCAMTECH/GWL/MECH/2025-26/TRAINSET/SHOP SCHEDULE/REPORT Page 140 of 359
