REPORT ON SHOP SCHEDULE ACTIVITIES FOR VANDE BHARAT TRAINSET (Ver. 2)

| SN | System/Sub System/Component | Proposed Maintenance during Warranty Period | Proposed Maintenance post Warranty Period | Proposed related actions |
| :--- | :--- | :--- | :--- | :--- |
| **x.** | **Traction, Propulsion and Control System** | | | |
| 1. | Traction Gearbox and related items | Preventive Maintenance Contracts | Comprehensive Annual Maintenance Contracts | Consolidated contract for PMC and CAMC to be done by ICF |
| 2. | Line & Traction Converter and related items | | | |
| 3. | Auxiliary Converter Unit and related systems | | | |
| 4. | Battery Box Unit (BBU) and related systems | | | |
| 5. | Brake Chopper Resistor and related items | | | |
| 6. | DC Link Earthing Switch and related items | | | |
| 7. | Traction Motor and related systems | | | |
| 8. | TM Cable Junction Box and related systems | | | |
| 9. | Master Controller and related items | | | |
| 10. | Driver Console and related systems | | | |
| 11. | Isolation Transformer and related items | | | |
| 12. | CRW, ECC and EWP and related items | | | |
| 13. | Earth Return JB and Return CT JB | | | |
| 14. | ERCU-Ground Contact and related items | In-house Maintenance with adequate UTEX | In-house Maintenance with adequate UTEX | Consolidated Rate contract for supply of the item/items to be done by ICF |
| 15. | Speedometer and related items | Preventive Maintenance Contracts | Comprehensive Annual Maintenance Contracts | Consolidated contract for PMC and CAMC to be done by ICF |

Page 9 of 10

IRCAMTECH/GWL/MECH/2025-26/TRAINSET/SHOP SCHEDULE/REPORT Page 143 of 359
